volume,hour,minute,weekday,timemap,pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,SSD,is_workday
16,0,0,5,1,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
21,0,20,5,2,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
13,0,40,5,3,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
16,1,0,5,4,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
16,1,20,5,5,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
13,1,40,5,6,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
7,2,0,5,7,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
13,2,20,5,8,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
10,2,40,5,9,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
15,3,0,5,10,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
9,3,20,5,11,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
10,3,40,5,12,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
9,4,0,5,13,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
15,4,20,5,14,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
11,4,40,5,15,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
15,5,0,5,16,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
11,5,20,5,17,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
17,5,40,5,18,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
27,6,0,5,19,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
56,6,20,5,20,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
69,6,40,5,21,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
120,7,0,5,22,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
124,7,20,5,23,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
149,7,40,5,24,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
137,8,0,5,25,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
152,8,20,5,26,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
145,8,40,5,27,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
148,9,0,5,28,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
137,9,20,5,29,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
120,9,40,5,30,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
96,10,0,5,31,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
88,10,20,5,32,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
96,10,40,5,33,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
71,11,0,5,34,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
87,11,20,5,35,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
98,11,40,5,36,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
83,12,0,5,37,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
83,12,20,5,38,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
91,12,40,5,39,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
97,13,0,5,40,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
104,13,20,5,41,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
98,13,40,5,42,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
95,14,0,5,43,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
106,14,20,5,44,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
97,14,40,5,45,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
