volume,hour,minute,weekday,timemap,pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,SSD,is_workday
153,0,0,5,1,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
107,0,20,5,2,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
91,0,40,5,3,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
13,1,0,5,4,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
10,1,20,5,5,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
5,1,40,5,6,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
7,2,0,5,7,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
4,2,20,5,8,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
3,2,40,5,9,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
1,3,0,5,10,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
6,3,20,5,11,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
6,3,40,5,12,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
5,4,0,5,13,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
5,4,20,5,14,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
8,4,40,5,15,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
8,5,0,5,16,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
4,5,20,5,17,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
17,5,40,5,18,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
11,6,0,5,19,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
28,6,20,5,20,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
39,6,40,5,21,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
59,7,0,5,22,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
79,7,20,5,23,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
105,7,40,5,24,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
128,8,0,5,25,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
129,8,20,5,26,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
142,8,40,5,27,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
132,9,0,5,28,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
127,9,20,5,29,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
101,9,40,5,30,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
73,10,0,5,31,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
92,10,20,5,32,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
72,10,40,5,33,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
84,11,0,5,34,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
71,11,20,5,35,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
76,11,40,5,36,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
66,12,0,5,37,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
80,12,20,5,38,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
88,12,40,5,39,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
